name,RA,DEC,zlens
SDSSJ0114+0722,18.6598,7.3747,0.408
SDSSJ0246-0825,41.64204,-8.42669,0.723
SDSSJ0248+1913,42.2031,19.22528,measured
SDSSJ0256+0153,44.1697,1.8915,0.603
SDSSJ0737+4825,114.2863,48.4309,-
SDSSJ0746+4403,116.721,44.06425,0.513
SDSSJ0806+2006,121.59867,20.10874,0.573
SDSSJ0818+0601,124.6268,6.0271,1.01
SDSSJ0819+5356,124.99909,53.94018,0.294
SDSSJ0821+4542,125.4943,45.71233,0.349
SDSSJ0832+0404,128.0711,4.06789,0.659
SDSSJ0903+5028,135.89609,50.47213,0.388
SDSSJ0904+1512,136.01744,15.21507,-
SDSSJ0909+4449,137.43957,44.83183,0.9
SDSSJ0921+2854,140.3142,28.9124,0.445
SDSSJ0924+0219,141.23246,2.32358,0.393
SDSSJ0946+1835,146.52017,18.59453,0.388
SDSSJ1001+5027,150.36876,50.46595,0.415
SDSSJ1004+4112,151.14294,41.2118,0.68
SDSSJ1021+4913,155.29588,49.22508,0.451
SDSSJ1029+2623,157.30765,26.39171,0.584
SDSSJ1054+2733,163.67036,27.5517,0.23?
SDSSJ1055+4628,163.93938,46.4777,0.388
SDSSJ1128+2402,172.07704,24.03817,-
SDSSJ1131+1915,172.9908,19.25761,0.32?
SDSSJ1138+0314,174.51554,3.24939,0.445
SDSSJ1155+6346,178.82195,63.77265,0.176
SDSSJ1206+4332,181.62361,43.53856,0.748
SDSSJ1216+3529,184.19165,35.49478,0.55*
SDSSJ1226-0006,186.53342,-0.10061,0.517
SDSSJ1251+2935,192.78154,29.59458,0.41
SDSSJ1254+2235,193.57917,22.59334,0.3?
SDSSJ1254+1857,193.6681,18.95333,0.555
SDSSJ1258+1657,194.58017,16.95489,0.4?
SDSSJ1304+2001,196.18166,20.01805,0.4?
SDSSJ1313+5151,198.41675,51.85801,0.194
SDSSJ1320+1644*,200.24778,16.73437,0.899
SDSSJ1322+1052,200.65152,10.8778,0.55?
SDSSJ1330+3800,202.53058,38.012,-
SDSSJ1330+1810,202.57772,18.17581,0.373
SDSSJ1332+0347,203.09425,3.79442,0.191
SDSSJ1334+3315,203.50579,33.25953,0.557?
SDSSJ1335+0118,203.89496,1.30153,0.44
SDSSJ1339+1310,204.77999,13.1775,0.607
SDSSJ1349+1227,207.37472,12.45213,0.65?
SDSSJ1353+1138,208.27642,11.63464,0.25*
SDSSJ1400+3134,210.05341,31.58141,0.8?
SDSSJ1406+6126,211.60303,61.44446,0.27
SDSSJ1412+5204,213.04225,52.07305,-
SDSSJ1433+6007,218.345,60.121,0.407
SDSSJ1442+4055,220.7279,40.92656,0.284
SDSSJ1452+4224,223.04792,42.40822,0.382
SDSSJ1455+1447,223.75782,14.79301,0.42*
SDSSJ1458-0202,224.6984,-2.0348,-
SDSSJ1515+1511,228.9106,15.19309,0.742
SDSSJ1524+4409,231.19008,44.16375,0.32
SDSSJ1537+3014,234.39335,30.2485,0.49
SDSSJ1620+1203,245.10931,12.0613,0.398
SDSSJ1640+1932,250.19029,19.54921,0.195
SDSSJ1650+4251,252.681,42.86369,0.577?
SDSSJ2146-0047,326.6918,-0.7957,0.799
SDSSJ2222+2745,335.5354,27.7594,0.49
SDSS J0004-0103,1.216666667,-1.054388889,0.514
SDSS J0108+0624,17.175,6.412083333,0.5478
SDSS J0146-0929,26.73333333,-9.497888889,0.4469
